Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 176 files,  9820 codes, 808 comments, 4204 blanks, all 14832 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/devices/HARD_DISK/disk.asm         | x86 and x86_64 Assembly |         81 |          3 |         27 |        111 |
| /home/witut/Desktop/xaninOS/src/devices/HARD_DISK/disk.c           | C                       |         93 |          5 |         62 |        160 |
| /home/witut/Desktop/xaninOS/src/devices/HARD_DISK/disk.h           | C++                     |         31 |          1 |         20 |         52 |
| /home/witut/Desktop/xaninOS/src/devices/HARD_DISK/load_kernel.asm  | x86 and x86_64 Assembly |         10 |          0 |          9 |         19 |
| /home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.cpp          | C++                     |         58 |          0 |         20 |         78 |
| /home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.h            | C++                     |         21 |          0 |         11 |         32 |
| /home/witut/Desktop/xaninOS/src/devices/IOAPIC/ioapic.hpp          | C++                     |         81 |          0 |         27 |        108 |
| /home/witut/Desktop/xaninOS/src/devices/MOUSE/mouse.asm            | x86 and x86_64 Assembly |         12 |          0 |          4 |         16 |
| /home/witut/Desktop/xaninOS/src/devices/MOUSE/mouse.c              | C                       |         76 |         31 |         23 |        130 |
| /home/witut/Desktop/xaninOS/src/devices/NIC/8254x.cpp              | C++                     |         88 |         17 |         53 |        158 |
| /home/witut/Desktop/xaninOS/src/devices/NIC/8254x.hpp              | C++                     |        126 |          1 |         38 |        165 |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.c                  | C                       |        221 |          3 |        160 |        384 |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.h                  | C++                     |        125 |          0 |         42 |        167 |
| /home/witut/Desktop/xaninOS/src/devices/USB/ehci.c                 | C                       |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/devices/USB/ehci.h                 | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/devices/USB/usb.c                  | C                       |         38 |         49 |         23 |        110 |
| /home/witut/Desktop/xaninOS/src/devices/USB/usb.h                  | C++                     |          9 |          0 |         13 |         22 |
| /home/witut/Desktop/xaninOS/src/devices/VGA/vga.c                  | C                       |        188 |         14 |         74 |        276 |
| /home/witut/Desktop/xaninOS/src/devices/VGA/vga.h                  | C++                     |        580 |         18 |         22 |        620 |
| /home/witut/Desktop/xaninOS/src/devices/mouse.cpp                  | C++                     |          0 |        201 |          0 |        201 |
| /home/witut/Desktop/xaninOS/src/elf/elf_loader.c                   | C                       |         73 |          0 |         37 |        110 |
| /home/witut/Desktop/xaninOS/src/elf/elf_loader.h                   | C++                     |          7 |          0 |          3 |         10 |
| /home/witut/Desktop/xaninOS/src/game_engine/xagame.cpp             | C++                     |         61 |          0 |         25 |         86 |
| /home/witut/Desktop/xaninOS/src/game_engine/xagame.hpp             | C++                     |         43 |         14 |         16 |         73 |
| /home/witut/Desktop/xaninOS/src/gyn_cl/gyn.c                       | C                       |         41 |          4 |         20 |         65 |
| /home/witut/Desktop/xaninOS/src/gyn_cl/gyn.h                       | C++                     |          8 |          0 |          6 |         14 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.c                | C                       |        215 |          4 |         39 |        258 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.h                | C++                     |         16 |          2 |         13 |         31 |
| /home/witut/Desktop/xaninOS/src/handlers/keyboard.asm              | x86 and x86_64 Assembly |         11 |          0 |          5 |         16 |
| /home/witut/Desktop/xaninOS/src/headers/macros.h                   | C++                     |          5 |          0 |          5 |         10 |
| /home/witut/Desktop/xaninOS/src/kernel.c                           | C                       |        182 |         25 |        108 |        315 |
| /home/witut/Desktop/xaninOS/src/keyboard/key_map.h                 | C++                     |         56 |         18 |         12 |         86 |
| /home/witut/Desktop/xaninOS/src/keyboard/keyboard_driver.c         | C                       |        108 |          0 |         35 |        143 |
| /home/witut/Desktop/xaninOS/src/keyboard/keyboard_init.c           | C                       |         22 |          0 |         16 |         38 |
| /home/witut/Desktop/xaninOS/src/keyboard/scan_codes.h              | C++                     |         45 |          0 |          0 |         45 |
| /home/witut/Desktop/xaninOS/src/libc/algorithm.h                   | C++                     |         18 |          0 |          7 |         25 |
| /home/witut/Desktop/xaninOS/src/libc/alloc.h                       | C++                     |         95 |         10 |         40 |        145 |
| /home/witut/Desktop/xaninOS/src/libc/assert.h                      | C++                     |         11 |          0 |          4 |         15 |
| /home/witut/Desktop/xaninOS/src/libc/clock.h                       | C++                     |          1 |          0 |          2 |          3 |
| /home/witut/Desktop/xaninOS/src/libc/colors.h                      | C++                     |         21 |          1 |          8 |         30 |
| /home/witut/Desktop/xaninOS/src/libc/enable_sse.asm                | x86 and x86_64 Assembly |          8 |          0 |          3 |         11 |
| /home/witut/Desktop/xaninOS/src/libc/enter_real_mode.asm           | x86 and x86_64 Assembly |         43 |          0 |         19 |         62 |
| /home/witut/Desktop/xaninOS/src/libc/hal.h                         | C++                     |        180 |          4 |         61 |        245 |
| /home/witut/Desktop/xaninOS/src/libc/math.h                        | C++                     |         13 |          0 |         12 |         25 |
| /home/witut/Desktop/xaninOS/src/libc/memory.h                      | C++                     |         21 |          0 |          9 |         30 |
| /home/witut/Desktop/xaninOS/src/libc/parameter.h                   | C++                     |          9 |          0 |          5 |         14 |
| /home/witut/Desktop/xaninOS/src/libc/stdiox.h                      | C                       |        527 |          7 |        263 |        797 |
| /home/witut/Desktop/xaninOS/src/libc/stdlibx.h                     | C++                     |        272 |          9 |        100 |        381 |
| /home/witut/Desktop/xaninOS/src/libc/string.h                      | C++                     |        270 |         18 |        138 |        426 |
| /home/witut/Desktop/xaninOS/src/libc/syslog.h                      | C++                     |         29 |          0 |         22 |         51 |
| /home/witut/Desktop/xaninOS/src/libc/time.h                        | C++                     |         28 |          0 |         16 |         44 |
| /home/witut/Desktop/xaninOS/src/libcpp/algorithm.h                 | C++                     |         80 |          0 |         34 |        114 |
| /home/witut/Desktop/xaninOS/src/libcpp/array.h                     | C++                     |         91 |          0 |         46 |        137 |
| /home/witut/Desktop/xaninOS/src/libcpp/box.h                       | C++                     |         22 |          0 |         11 |         33 |
| /home/witut/Desktop/xaninOS/src/libcpp/chal.h                      | C++                     |         17 |          0 |          4 |         21 |
| /home/witut/Desktop/xaninOS/src/libcpp/cmath.h                     | C++                     |          6 |          0 |          2 |          8 |
| /home/witut/Desktop/xaninOS/src/libcpp/cmemory.h                   | C++                     |          9 |          0 |          4 |         13 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstdio.h                    | C++                     |         12 |          0 |          8 |         20 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h                   | C++                     |         43 |          0 |         11 |         54 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstring.h                   | C++                     |         24 |          0 |          6 |         30 |
| /home/witut/Desktop/xaninOS/src/libcpp/ctime.h                     | C++                     |         23 |          0 |         12 |         35 |
| /home/witut/Desktop/xaninOS/src/libcpp/cxin.h                      | C++                     |         14 |          0 |          7 |         21 |
| /home/witut/Desktop/xaninOS/src/libcpp/fstream.h                   | C++                     |         39 |          0 |         22 |         61 |
| /home/witut/Desktop/xaninOS/src/libcpp/hal.h                       | C++                     |         47 |          5 |         22 |         74 |
| /home/witut/Desktop/xaninOS/src/libcpp/if.h                        | C++                     |          8 |          0 |          4 |         12 |
| /home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp        | C++                     |         38 |         42 |         17 |         97 |
| /home/witut/Desktop/xaninOS/src/libcpp/iostream.h                  | C++                     |          3 |          0 |          2 |          5 |
| /home/witut/Desktop/xaninOS/src/libcpp/istream.h                   | C++                     |        123 |          0 |         30 |        153 |
| /home/witut/Desktop/xaninOS/src/libcpp/iterator.h                  | C++                     |         59 |          0 |         24 |         83 |
| /home/witut/Desktop/xaninOS/src/libcpp/new.hpp                     | C++                     |         16 |         11 |          6 |         33 |
| /home/witut/Desktop/xaninOS/src/libcpp/ostream.h                   | C++                     |        203 |          0 |         62 |        265 |
| /home/witut/Desktop/xaninOS/src/libcpp/stack.h                     | C++                     |         36 |          0 |         18 |         54 |
| /home/witut/Desktop/xaninOS/src/libcpp/string.h                    | C++                     |        108 |         22 |         47 |        177 |
| /home/witut/Desktop/xaninOS/src/libcpp/terminal_color.hpp          | C++                     |         38 |          0 |          8 |         46 |
| /home/witut/Desktop/xaninOS/src/libcpp/time.hpp                    | C++                     |         39 |          0 |         31 |         70 |
| /home/witut/Desktop/xaninOS/src/libcpp/tuple.hpp                   | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/libcpp/type_traits.h               | C++                     |          9 |          1 |          4 |         14 |
| /home/witut/Desktop/xaninOS/src/libcpp/utility.h                   | C++                     |         33 |          1 |         20 |         54 |
