"filename", "language", "Markdown", "x86 and x86_64 Assembly", "C++", "C", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/elf/elf_loader.h", "C++", 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/witut/Desktop/xaninOS/src/game_engine/xagame.cpp", "C++", 0, 0, 61, 0, 0, 0, 0, 25, 86
"/home/witut/Desktop/xaninOS/src/game_engine/xagame.hpp", "C++", 0, 0, 43, 0, 0, 0, 14, 16, 73
"/home/witut/Desktop/xaninOS/src/gyn_cl/gyn.c", "C", 0, 0, 0, 41, 0, 0, 4, 20, 65
"/home/witut/Desktop/xaninOS/src/gyn_cl/gyn.h", "C++", 0, 0, 8, 0, 0, 0, 0, 6, 14
"/home/witut/Desktop/xaninOS/src/handlers/handlers.c", "C", 0, 0, 0, 215, 0, 0, 4, 39, 258
"/home/witut/Desktop/xaninOS/src/handlers/handlers.h", "C++", 0, 0, 16, 0, 0, 0, 2, 13, 31
"/home/witut/Desktop/xaninOS/src/handlers/keyboard.asm", "x86 and x86_64 Assembly", 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/witut/Desktop/xaninOS/src/headers/macros.h", "C++", 0, 0, 5, 0, 0, 0, 0, 5, 10
"/home/witut/Desktop/xaninOS/src/kernel.c", "C", 0, 0, 0, 182, 0, 0, 25, 108, 315
"/home/witut/Desktop/xaninOS/src/keyboard/key_map.h", "C++", 0, 0, 56, 0, 0, 0, 18, 12, 86
"/home/witut/Desktop/xaninOS/src/keyboard/keyboard_driver.c", "C", 0, 0, 0, 108, 0, 0, 0, 35, 143
"/home/witut/Desktop/xaninOS/src/keyboard/keyboard_init.c", "C", 0, 0, 0, 22, 0, 0, 0, 16, 38
"/home/witut/Desktop/xaninOS/src/keyboard/scan_codes.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 45
"/home/witut/Desktop/xaninOS/src/libc/algorithm.h", "C++", 0, 0, 18, 0, 0, 0, 0, 7, 25
"/home/witut/Desktop/xaninOS/src/libc/alloc.h", "C++", 0, 0, 95, 0, 0, 0, 10, 40, 145
"/home/witut/Desktop/xaninOS/src/libc/assert.h", "C++", 0, 0, 11, 0, 0, 0, 0, 4, 15
"/home/witut/Desktop/xaninOS/src/libc/clock.h", "C++", 0, 0, 1, 0, 0, 0, 0, 2, 3
"/home/witut/Desktop/xaninOS/src/libc/colors.h", "C++", 0, 0, 21, 0, 0, 0, 1, 8, 30
"/home/witut/Desktop/xaninOS/src/libc/enable_sse.asm", "x86 and x86_64 Assembly", 0, 8, 0, 0, 0, 0, 0, 3, 11
"/home/witut/Desktop/xaninOS/src/libc/enter_real_mode.asm", "x86 and x86_64 Assembly", 0, 43, 0, 0, 0, 0, 0, 19, 62
"/home/witut/Desktop/xaninOS/src/libc/hal.h", "C++", 0, 0, 180, 0, 0, 0, 4, 61, 245
"/home/witut/Desktop/xaninOS/src/libc/math.h", "C++", 0, 0, 13, 0, 0, 0, 0, 12, 25
"/home/witut/Desktop/xaninOS/src/libc/memory.h", "C++", 0, 0, 21, 0, 0, 0, 0, 9, 30
"/home/witut/Desktop/xaninOS/src/libc/parameter.h", "C++", 0, 0, 9, 0, 0, 0, 0, 5, 14
"/home/witut/Desktop/xaninOS/src/libc/stdiox.h", "C", 0, 0, 0, 527, 0, 0, 7, 263, 797
"/home/witut/Desktop/xaninOS/src/libc/stdlibx.h", "C++", 0, 0, 272, 0, 0, 0, 9, 100, 381
"/home/witut/Desktop/xaninOS/src/libc/string.h", "C++", 0, 0, 270, 0, 0, 0, 18, 138, 426
"/home/witut/Desktop/xaninOS/src/libc/syslog.h", "C++", 0, 0, 29, 0, 0, 0, 0, 22, 51
"/home/witut/Desktop/xaninOS/src/libc/time.h", "C++", 0, 0, 28, 0, 0, 0, 0, 16, 44
"/home/witut/Desktop/xaninOS/src/libcpp/algorithm.h", "C++", 0, 0, 80, 0, 0, 0, 0, 34, 114
"/home/witut/Desktop/xaninOS/src/libcpp/array.h", "C++", 0, 0, 91, 0, 0, 0, 0, 46, 137
"/home/witut/Desktop/xaninOS/src/libcpp/box.h", "C++", 0, 0, 22, 0, 0, 0, 0, 11, 33
"/home/witut/Desktop/xaninOS/src/libcpp/chal.h", "C++", 0, 0, 17, 0, 0, 0, 0, 4, 21
"/home/witut/Desktop/xaninOS/src/libcpp/cmath.h", "C++", 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/witut/Desktop/xaninOS/src/libcpp/cmemory.h", "C++", 0, 0, 9, 0, 0, 0, 0, 4, 13
"/home/witut/Desktop/xaninOS/src/libcpp/cstdio.h", "C++", 0, 0, 12, 0, 0, 0, 0, 8, 20
"/home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h", "C++", 0, 0, 43, 0, 0, 0, 0, 11, 54
"/home/witut/Desktop/xaninOS/src/libcpp/cstring.h", "C++", 0, 0, 24, 0, 0, 0, 0, 6, 30
"/home/witut/Desktop/xaninOS/src/libcpp/ctime.h", "C++", 0, 0, 23, 0, 0, 0, 0, 12, 35
"/home/witut/Desktop/xaninOS/src/libcpp/cxin.h", "C++", 0, 0, 14, 0, 0, 0, 0, 7, 21
"/home/witut/Desktop/xaninOS/src/libcpp/fstream.h", "C++", 0, 0, 39, 0, 0, 0, 0, 22, 61
"/home/witut/Desktop/xaninOS/src/libcpp/hal.h", "C++", 0, 0, 47, 0, 0, 0, 5, 22, 74
"/home/witut/Desktop/xaninOS/src/libcpp/if.h", "C++", 0, 0, 8, 0, 0, 0, 0, 4, 12
"/home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp", "C++", 0, 0, 38, 0, 0, 0, 42, 17, 97
"/home/witut/Desktop/xaninOS/src/libcpp/iostream.h", "C++", 0, 0, 3, 0, 0, 0, 0, 2, 5
"/home/witut/Desktop/xaninOS/src/libcpp/istream.h", "C++", 0, 0, 123, 0, 0, 0, 0, 30, 153
"/home/witut/Desktop/xaninOS/src/libcpp/iterator.h", "C++", 0, 0, 59, 0, 0, 0, 0, 24, 83
"/home/witut/Desktop/xaninOS/src/libcpp/new.hpp", "C++", 0, 0, 16, 0, 0, 0, 11, 6, 33
"/home/witut/Desktop/xaninOS/src/libcpp/ostream.h", "C++", 0, 0, 203, 0, 0, 0, 0, 62, 265
"/home/witut/Desktop/xaninOS/src/libcpp/stack.h", "C++", 0, 0, 36, 0, 0, 0, 0, 18, 54
"/home/witut/Desktop/xaninOS/src/libcpp/string.h", "C++", 0, 0, 108, 0, 0, 0, 22, 47, 177
"/home/witut/Desktop/xaninOS/src/libcpp/terminal_color.hpp", "C++", 0, 0, 38, 0, 0, 0, 0, 8, 46
"/home/witut/Desktop/xaninOS/src/libcpp/time.hpp", "C++", 0, 0, 39, 0, 0, 0, 0, 31, 70
"/home/witut/Desktop/xaninOS/src/libcpp/tuple.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/witut/Desktop/xaninOS/src/libcpp/type_traits.h", "C++", 0, 0, 9, 0, 0, 0, 1, 4, 14
"/home/witut/Desktop/xaninOS/src/libcpp/utility.h", "C++", 0, 0, 33, 0, 0, 0, 1, 20, 54
"/home/witut/Desktop/xaninOS/src/pit/pit.asm", "x86 and x86_64 Assembly", 0, 11, 0, 0, 0, 0, 0, 5, 16
"/home/witut/Desktop/xaninOS/src/pit/pit.c", "C", 0, 0, 0, 37, 0, 0, 16, 28, 81
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/algorithm.h", "C++", 0, 0, 3, 0, 0, 0, 0, 3, 6
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/assert.h", "C++", 0, 0, 5, 0, 0, 0, 0, 5, 10
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/c_libary.h", "C++", 0, 0, 0, 0, 0, 0, 14, 1, 15
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/colors.h", "C++", 0, 0, 21, 0, 0, 0, 1, 9, 31
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/hal.h", "C++", 0, 0, 22, 0, 0, 0, 0, 7, 29
"/home/witut/Desktop/xaninOS/src/programming_libaries/c/stdiox.h", "C", 0, 0, 0, 15, 0, 0, 0, 5, 20
