Date : 2022-07-15 13:43:52
Directory : /home/witut/Desktop/xaninOS
Total : 117 files,  1371 codes, 59 comments, 665 blanks, all 2095 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/lib/clock.h                        | C++                     |         -3 |          0 |         -5 |         -8 |
| /home/witut/Desktop/xaninOS/src/lib/colors.h                       | C++                     |        -21 |         -1 |         -8 |        -30 |
| /home/witut/Desktop/xaninOS/src/lib/enable_sse.asm                 | x86 and x86_64 Assembly |         -8 |          0 |         -3 |        -11 |
| /home/witut/Desktop/xaninOS/src/lib/enter_real_mode.asm            | x86 and x86_64 Assembly |        -42 |          0 |        -19 |        -61 |
| /home/witut/Desktop/xaninOS/src/lib/exit_process.h                 | C++                     |        -17 |          0 |         -5 |        -22 |
| /home/witut/Desktop/xaninOS/src/lib/hal.h                          | C++                     |       -135 |         -2 |        -52 |       -189 |
| /home/witut/Desktop/xaninOS/src/lib/math.h                         | C++                     |        -13 |          0 |        -12 |        -25 |
| /home/witut/Desktop/xaninOS/src/lib/memory.h                       | C++                     |        -21 |          0 |         -9 |        -30 |
| /home/witut/Desktop/xaninOS/src/lib/parameter.h                    | C++                     |         -9 |          0 |         -5 |        -14 |
| /home/witut/Desktop/xaninOS/src/lib/signal.h                       | C++                     |        -21 |         -1 |        -14 |        -36 |
| /home/witut/Desktop/xaninOS/src/lib/stdiox.h                       | C                       |       -524 |         -7 |       -265 |       -796 |
| /home/witut/Desktop/xaninOS/src/lib/stdlibx.h                      | C++                     |       -278 |         -9 |       -103 |       -390 |
| /home/witut/Desktop/xaninOS/src/lib/string.h                       | C++                     |       -257 |        -30 |       -134 |       -421 |
| /home/witut/Desktop/xaninOS/src/lib/time.h                         | C++                     |        -28 |          0 |        -16 |        -44 |
| /home/witut/Desktop/xaninOS/src/libc/algorithm.h                   | C++                     |         18 |          0 |          7 |         25 |
| /home/witut/Desktop/xaninOS/src/libc/alloc.h                       | C++                     |         95 |         10 |         40 |        145 |
| /home/witut/Desktop/xaninOS/src/libc/assert.h                      | C++                     |         11 |          0 |          4 |         15 |
| /home/witut/Desktop/xaninOS/src/libc/clock.h                       | C++                     |          1 |          0 |          2 |          3 |
| /home/witut/Desktop/xaninOS/src/libc/colors.h                      | C++                     |         21 |          1 |          8 |         30 |
| /home/witut/Desktop/xaninOS/src/libc/enable_sse.asm                | x86 and x86_64 Assembly |          8 |          0 |          3 |         11 |
| /home/witut/Desktop/xaninOS/src/libc/enter_real_mode.asm           | x86 and x86_64 Assembly |         43 |          0 |         19 |         62 |
| /home/witut/Desktop/xaninOS/src/libc/hal.h                         | C++                     |        180 |          4 |         61 |        245 |
| /home/witut/Desktop/xaninOS/src/libc/math.h                        | C++                     |         13 |          0 |         12 |         25 |
| /home/witut/Desktop/xaninOS/src/libc/memory.h                      | C++                     |         21 |          0 |          9 |         30 |
