Date : 2022-06-04 09:27:36
Directory : /home/witut/Desktop/xaninOS/src
Total : 144 files,  8449 codes, 749 comments, 3539 blanks, all 12737 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.c                 | C                       |        139 |          3 |        103 |        245 |
| /home/witut/Desktop/xaninOS/src/devices/PCI/pci.h                 | C++                     |        115 |          0 |         29 |        144 |
| /home/witut/Desktop/xaninOS/src/devices/USB/ehci.c                | C                       |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/devices/USB/ehci.h                | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/devices/USB/usb.c                 | C                       |         38 |         49 |         23 |        110 |
| /home/witut/Desktop/xaninOS/src/devices/USB/usb.h                 | C++                     |          9 |          0 |         13 |         22 |
| /home/witut/Desktop/xaninOS/src/devices/VGA/vga.c                 | C                       |        188 |         14 |         74 |        276 |
| /home/witut/Desktop/xaninOS/src/devices/VGA/vga.h                 | C++                     |        580 |         18 |         22 |        620 |
| /home/witut/Desktop/xaninOS/src/devices/mouse.cpp                 | C++                     |          0 |        201 |          0 |        201 |
| /home/witut/Desktop/xaninOS/src/elf/elf_loader.c                  | C                       |         73 |          0 |         37 |        110 |
| /home/witut/Desktop/xaninOS/src/elf/elf_loader.h                  | C++                     |          7 |          0 |          3 |         10 |
| /home/witut/Desktop/xaninOS/src/game_engine/xagame.cpp            | C++                     |         61 |          0 |         25 |         86 |
| /home/witut/Desktop/xaninOS/src/game_engine/xagame.hpp            | C++                     |         43 |         14 |         16 |         73 |
| /home/witut/Desktop/xaninOS/src/graphics/graphics.cpp             | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/graphics/graphics.hpp             | C++                     |          0 |          0 |          1 |          1 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.c               | C                       |        214 |          2 |         36 |        252 |
| /home/witut/Desktop/xaninOS/src/handlers/handlers.h               | C++                     |         15 |          2 |         12 |         29 |
| /home/witut/Desktop/xaninOS/src/handlers/keyboard.asm             | x86 and x86_64 Assembly |         11 |          0 |          5 |         16 |
| /home/witut/Desktop/xaninOS/src/headers/macros.h                  | C++                     |          5 |          0 |          5 |         10 |
| /home/witut/Desktop/xaninOS/src/kernel.c                          | C                       |        138 |          9 |         75 |        222 |
| /home/witut/Desktop/xaninOS/src/keyboard/key_map.h                | C++                     |         56 |         18 |         12 |         86 |
| /home/witut/Desktop/xaninOS/src/keyboard/keyboard_driver.c        | C                       |        108 |          0 |         35 |        143 |
| /home/witut/Desktop/xaninOS/src/keyboard/keyboard_init.c          | C                       |         22 |          0 |         16 |         38 |
| /home/witut/Desktop/xaninOS/src/keyboard/scan_codes.h             | C++                     |         45 |          0 |          0 |         45 |
| /home/witut/Desktop/xaninOS/src/lib/algorithm.h                   | C++                     |         18 |          0 |          7 |         25 |
| /home/witut/Desktop/xaninOS/src/lib/alloc.h                       | C++                     |         95 |         10 |         40 |        145 |
| /home/witut/Desktop/xaninOS/src/lib/assert.h                      | C++                     |         11 |          0 |          4 |         15 |
| /home/witut/Desktop/xaninOS/src/lib/clock.h                       | C++                     |          3 |          0 |          5 |          8 |
| /home/witut/Desktop/xaninOS/src/lib/colors.h                      | C++                     |         21 |          1 |          8 |         30 |
| /home/witut/Desktop/xaninOS/src/lib/enable_sse.asm                | x86 and x86_64 Assembly |          8 |          0 |          3 |         11 |
| /home/witut/Desktop/xaninOS/src/lib/enter_real_mode.asm           | x86 and x86_64 Assembly |         42 |          0 |         19 |         61 |
| /home/witut/Desktop/xaninOS/src/lib/exit_process.h                | C++                     |         17 |          0 |          5 |         22 |
| /home/witut/Desktop/xaninOS/src/lib/hal.h                         | C++                     |        135 |          2 |         52 |        189 |
| /home/witut/Desktop/xaninOS/src/lib/math.h                        | C++                     |         13 |          0 |         12 |         25 |
| /home/witut/Desktop/xaninOS/src/lib/memory.h                      | C++                     |         21 |          0 |          9 |         30 |
| /home/witut/Desktop/xaninOS/src/lib/parameter.h                   | C++                     |          9 |          0 |          5 |         14 |
| /home/witut/Desktop/xaninOS/src/lib/signal.h                      | C++                     |         21 |          1 |         14 |         36 |
| /home/witut/Desktop/xaninOS/src/lib/stdiox.h                      | C                       |        524 |          7 |        265 |        796 |
| /home/witut/Desktop/xaninOS/src/lib/stdlibx.h                     | C++                     |        278 |          9 |        103 |        390 |
| /home/witut/Desktop/xaninOS/src/lib/string.h                      | C++                     |        257 |         30 |        134 |        421 |
| /home/witut/Desktop/xaninOS/src/lib/time.h                        | C++                     |         28 |          0 |         16 |         44 |
| /home/witut/Desktop/xaninOS/src/libcpp/algorithm.h                | C++                     |         51 |          0 |         25 |         76 |
| /home/witut/Desktop/xaninOS/src/libcpp/array.cpp                  | C++                     |         90 |          0 |         45 |        135 |
| /home/witut/Desktop/xaninOS/src/libcpp/chal.h                     | C++                     |         17 |          0 |          4 |         21 |
| /home/witut/Desktop/xaninOS/src/libcpp/cmath.h                    | C++                     |          6 |          0 |          2 |          8 |
| /home/witut/Desktop/xaninOS/src/libcpp/cmemory.h                  | C++                     |          9 |          0 |          4 |         13 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstdio.h                   | C++                     |         12 |          0 |          8 |         20 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstdlib.h                  | C++                     |         32 |          0 |          7 |         39 |
| /home/witut/Desktop/xaninOS/src/libcpp/cstring.h                  | C++                     |         24 |          0 |          6 |         30 |
| /home/witut/Desktop/xaninOS/src/libcpp/ctime.h                    | C++                     |         30 |          0 |         13 |         43 |
| /home/witut/Desktop/xaninOS/src/libcpp/cxin.h                     | C++                     |         14 |          0 |          7 |         21 |
| /home/witut/Desktop/xaninOS/src/libcpp/fstream.h                  | C++                     |         39 |          0 |         22 |         61 |
| /home/witut/Desktop/xaninOS/src/libcpp/hal.h                      | C++                     |         47 |          5 |         22 |         74 |
| /home/witut/Desktop/xaninOS/src/libcpp/if.h                       | C++                     |          8 |          0 |          4 |         12 |
| /home/witut/Desktop/xaninOS/src/libcpp/initializer_list.hpp       | C++                     |         37 |         42 |         17 |         96 |
| /home/witut/Desktop/xaninOS/src/libcpp/iostream.h                 | C++                     |          3 |          0 |          2 |          5 |
| /home/witut/Desktop/xaninOS/src/libcpp/istream.h                  | C++                     |        138 |          0 |         29 |        167 |
| /home/witut/Desktop/xaninOS/src/libcpp/new.hpp                    | C++                     |         16 |         11 |          6 |         33 |
| /home/witut/Desktop/xaninOS/src/libcpp/ostream.h                  | C++                     |        192 |          0 |         57 |        249 |
| /home/witut/Desktop/xaninOS/src/libcpp/string.h                   | C++                     |         75 |          0 |         30 |        105 |
| /home/witut/Desktop/xaninOS/src/libcpp/terminal_color.hpp         | C++                     |         38 |          0 |          8 |         46 |
| /home/witut/Desktop/xaninOS/src/libcpp/time.hpp                   | C++                     |         29 |          0 |         28 |         57 |
| /home/witut/Desktop/xaninOS/src/libcpp/utility.h                  | C++                     |         13 |          1 |         13 |         27 |
| /home/witut/Desktop/xaninOS/src/pit/pit.asm                       | x86 and x86_64 Assembly |         11 |          0 |          5 |         16 |
| /home/witut/Desktop/xaninOS/src/pit/pit.c                         | C                       |         37 |         16 |         28 |         81 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.asm               | x86 and x86_64 Assembly |         82 |          4 |         37 |        123 |
| /home/witut/Desktop/xaninOS/src/syscall/syscall.c                 | C                       |         78 |         27 |         33 |        138 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.c            | C                       |        190 |          0 |         63 |        253 |
| /home/witut/Desktop/xaninOS/src/terminal/interpreter.h            | C++                     |         35 |         23 |          9 |         67 |
