"filename", "language", "C", "x86 and x86_64 Assembly", "C++", "Shell Script", "Makefile", "comment", "blank", "total"
"/home/witut/Desktop/xaninOS/src/devices/USB/ehci.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/witut/Desktop/xaninOS/src/devices/USB/usb.c", "C", 38, 0, 0, 0, 0, 49, 23, 110
"/home/witut/Desktop/xaninOS/src/devices/USB/usb.h", "C++", 0, 0, 9, 0, 0, 0, 13, 22
"/home/witut/Desktop/xaninOS/src/devices/VGA/vga.c", "C", 188, 0, 0, 0, 0, 14, 74, 276
"/home/witut/Desktop/xaninOS/src/devices/VGA/vga.h", "C++", 0, 0, 580, 0, 0, 18, 22, 620
"/home/witut/Desktop/xaninOS/src/devices/mouse.cpp", "C++", 0, 0, 0, 0, 0, 201, 0, 201
"/home/witut/Desktop/xaninOS/src/elf/elf_loader.c", "C", 73, 0, 0, 0, 0, 0, 37, 110
"/home/witut/Desktop/xaninOS/src/elf/elf_loader.h", "C++", 0, 0, 7, 0, 0, 0, 3, 10
"/home/witut/Desktop/xaninOS/src/game_engine/xagame.cpp", "C++", 0, 0, 61, 0, 0, 0, 25, 86
"/home/witut/Desktop/xaninOS/src/game_engine/xagame.hpp", "C++", 0, 0, 43, 0, 0, 14, 16, 73
"/home/witut/Desktop/xaninOS/src/graphics/graphics.cpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/witut/Desktop/xaninOS/src/graphics/graphics.hpp", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/witut/Desktop/xaninOS/src/handlers/handlers.c", "C", 214, 0, 0, 0, 0, 2, 36, 252
"/home/witut/Desktop/xaninOS/src/handlers/handlers.h", "C++", 0, 0, 15, 0, 0, 2, 12, 29
"/home/witut/Desktop/xaninOS/src/handlers/keyboard.asm", "x86 and x86_64 Assembly", 0, 11, 0, 0, 0, 0, 5, 16
"/home/witut/Desktop/xaninOS/src/headers/macros.h", "C++", 0, 0, 5, 0, 0, 0, 5, 10
"/home/witut/Desktop/xaninOS/src/kernel.c", "C", 138, 0, 0, 0, 0, 9, 75, 222
"/home/witut/Desktop/xaninOS/src/keyboard/key_map.h", "C++", 0, 0, 56, 0, 0, 18, 12, 86
"/home/witut/Desktop/xaninOS/src/keyboard/keyboard_driver.c", "C", 108, 0, 0, 0, 0, 0, 35, 143
"/home/witut/Desktop/xaninOS/src/keyboard/keyboard_init.c", "C", 22, 0, 0, 0, 0, 0, 16, 38
"/home/witut/Desktop/xaninOS/src/keyboard/scan_codes.h", "C++", 0, 0, 45, 0, 0, 0, 0, 45
"/home/witut/Desktop/xaninOS/src/lib/algorithm.h", "C++", 0, 0, 18, 0, 0, 0, 7, 25
"/home/witut/Desktop/xaninOS/src/lib/alloc.h", "C++", 0, 0, 95, 0, 0, 10, 40, 145
"/home/witut/Desktop/xaninOS/src/lib/assert.h", "C++", 0, 0, 11, 0, 0, 0, 4, 15
"/home/witut/Desktop/xaninOS/src/lib/clock.h", "C++", 0, 0, 3, 0, 0, 0, 5, 8
"/home/witut/Desktop/xaninOS/src/lib/colors.h", "C++", 0, 0, 21, 0, 0, 1, 8, 30
"/home/witut/Desktop/xaninOS/src/lib/enable_sse.asm", "x86 and x86_64 Assembly", 0, 8, 0, 0, 0, 0, 3, 11
"/home/witut/Desktop/xaninOS/src/lib/enter_real_mode.asm", "x86 and x86_64 Assembly", 0, 42, 0, 0, 0, 0, 19, 61
